intent_definition,l3_intent(master_intent),Example phrase,l2_intent,l1_intent
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot scan a document because my printer is in use. but my printer is not in use.,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot scan any documents to my computer,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot scan but print is ok,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot scan documents and i hit scan it says you have to open a new account so this is retarded and i wasted my whole day from,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot scan documents no longer,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,"i can't scan the copy due to low cartridge, how can i scan it without replace a new cartridge?",Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot scan from my credit book,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot scan from my hp envy 5020 printer,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i cannot scan from my max computer,Copy or Scan Issue,Print Device
Device will not scan or copy due to system failure.,printer will not copy or scan,i have a hp laserjet pro 9015e all in one printer. i cannot scan any document i can just print.,Copy or Scan Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,cartridge error,the printer will not access at the cartridges,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,cartridge error,a new ink cartridge is not printing properly,Cartridge Issue,Print Device
Cartridge errors displayed via error message including issues such as printer unable to read the cartridge or cartridge sensor error.  ,cartridge error,add the printer is having a cartridge problem,Cartridge Issue,Print Device
